																			01/04/2026 17:09:35					03/31/2026																					
	SAE EQUIPMENT RMA TRACKING												Picture																																
																																													
			QUICK SEARCH																																										
																																													
																																													
																																													
			ROW	UNIT SERIAL NUMBER	ASSET #	SECTION #	RETURNED	TENTATIVE RMA RETURN DATE	TOTAL UNITS IN RMA	TOTAL UNITS OVERDUE								ASSET TAGS																											
			-	-	-	-	-	-	12	4									UNIT TAGGED?				IF ASSIGNED, NOT LOST																						
																																													
			ROW	UNIT SERIAL NUMBER	ASSET #	SAE	SCANNER	DATE RMA SUBMITTED	I.T. HAND OFF DATE	TENTATIVE RMA RETURN DATE	RECEIVED	COMMENTS	SECTION					ASSET TAG #	YES	NO	LOST	UNIT SERIAL #	LOCKER #	DATE TAGGED																					
35			35	18340523020268	380036	TRUE	FALSE	2/26/2026	2/26/2026	3/12/2026	TRUE	RECEIVED 3/25/26	3					380034	TRUE	FALSE	FALSE	18339523020394	34	8/16/2024																					
36			36	18339523020394	380034	TRUE	FALSE	3/10/2026	3/10/2026	3/24/2026	FALSE		3					380035	TRUE	FALSE	FALSE	19197523021323	35	8/16/2024																					
37			37	18339523020844	380027	TRUE	FALSE	3/12/2026	3/12/2026	3/26/2026	FALSE		3					380036	TRUE	FALSE	FALSE	18340523020268	36	8/16/2024																					
38			38	18339523020684	380053	TRUE	FALSE	3/23/2026	3/23/2026	4/6/2026	TRUE	RECEIVED 3/25/26	3					380037	TRUE	FALSE	FALSE	18340523020146	37	8/16/2024																					
39			39	25288T101	N/A	FALSE	TRUE	3/31/2026	3/31/2026	4/14/2026	FALSE		3					380038	TRUE	FALSE	FALSE	18340523020083	38	8/16/2024																					
40			40	M1W95E411R	N/A	FALSE	TRUE	3/31/2026	3/31/2026	4/14/2026	FALSE		3					380039	FALSE	FALSE	TRUE		39	8/16/2024																					
41			41	25079T107	N/A	FALSE	TRUE	3/31/2026	3/31/2026	4/14/2026	FALSE		3					380040	FALSE	FALSE	TRUE		40	8/16/2024																					
42			42	22311T122	N/A	FALSE	TRUE	3/31/2026	3/31/2026	4/14/2026	FALSE		3					380041	TRUE	FALSE	FALSE	18339523020803	41	8/16/2024																					
43			43	M1W95D86H	N/A	FALSE	TRUE	3/31/2026	3/31/2026	4/14/2026	FALSE		3					380042	TRUE	FALSE	FALSE	18340523020247	42	8/16/2024																					
44			44	18339523021233	380028	TRUE	FALSE	3/31/2026	3/31/2026	4/14/2026	FALSE		3					380043	TRUE	FALSE	FALSE	18339523020831	43	8/16/2024																					
45			45	18339523020935	380025	TRUE	FALSE	3/31/2026	3/31/2026	4/14/2026	FALSE		3					380044	TRUE	FALSE	FALSE	18340523020318	44	8/16/2024																					
46			46	18339523021211	380068	TRUE	FALSE	3/31/2026	3/31/2026	4/14/2026	FALSE		4	SECTION 4				380045	FALSE	TRUE	FALSE	18339523020837	45	8/16/2024																					
